DCF,Flagged,Complexity,Dimensions,compute-sync,compute-app,compute-cross,unbound-collection,unbound-allocation,unbound-os,Link,Open?
org.apache.cassandra.gms.GossipDigestSerializationHelper.serialize,TRUE,Linear,"Node,DC",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.utils.memory.BufferPool$LocalPool.tryGet,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16154,YES
org.apache.cassandra.locator.TokenMetadata.updateEndpointToHostIdMap,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.SystemKeyspace.updateSizeEstimates,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.cql3.QueryProcessor.makeInternalOptionsWithNowInSec,TRUE,Linear,"Keyspace,DC,Table",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.Keyspace.snapshot,TRUE,Linear,"Keyspace,Table",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.compaction.CompactionManager.submitBackground,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-17564,YES
org.apache.cassandra.db.SystemKeyspace.updateTableEstimates,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutMemtable,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.Keyspace.applyInternal,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-13810,YES
org.apache.cassandra.gms.Gossiper$GossipTask.run,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.commitlog.AbstractCommitLogService$SyncRunnable.run,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.service.StorageProxy.fetchRows,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16154,YES
org.apache.cassandra.service.StorageProxy.readRegular,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16154,YES
org.apache.cassandra.db.compaction.CompactionManager$BackgroundCompactionCandidate.run,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.compaction.CompactionStrategyManager.getNextBackgroundTask,TRUE,SuperLinear,Keyspaces,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18397,NO
org.apache.cassandra.io.util.UnbufferedDataOutputStreamPlus.writeUTF,TRUE,Linear,Token,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.serializers.SetSerializer.serializeValues,TRUE,Linear,"Node,DC,Table",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.SystemKeyspace.tokensAsSet,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.rows.BTreeRow$Builder.addCell,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges,TRUE,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.utils.btree.BTree.accumulateLeaf,TRUE,Linear,Token,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.utils.btree.BTree.transformLeaf,TRUE,Linear,Token,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.gms.TokenSerializer.deserialize,TRUE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
org.apache.cassandra.locator.TokenMetadata.addBootstrapTokens,TRUE,Linear,"Node,DC",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.serializers.SetSerializer.deserializeForNativeProtocol,TRUE,Linear,"Node,DC,Token",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.rows.Cell$Serializer.serialize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.service.StorageService.updateTokenMetadata,TRUE,Linear,"Node,DC",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.locator.TokenMetadata.updateNormalTokens,TRUE,Linear,"Node,DC",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.cql3.Sets$Value.fromSerialized,TRUE,Linear,"Node,DC,Table",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.db.rows.UnfilteredSerializer.writeComplexColumn,TRUE,Linear,"Node,DC,Table",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16988,YES
org.apache.cassandra.utils.btree.BTree.sizesToSizeMap,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.gms.Gossiper.addLocalApplicationStates,TRUE,Linear,DC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.utils.btree.BTree.accumulate,TRUE,Linear,"DC,Table",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.utils.btree.BTree.transform,TRUE,Linear,"DC,Table",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.locator.AbstractReplicaCollection.filter,TRUE,Linear,Table,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.db.rows.Cell$Serializer.deserialize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.transport.messages.BatchMessage.execute,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.batchlog.BatchlogManager.store,TRUE,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-12783,YES
org.apache.cassandra.cql3.statements.SingleTableUpdatesCollector.toMutations,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.cql3.statements.BatchStatement.getMutations,TRUE,Linear,Table,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19270,YES
org.apache.cassandra.db.rows.Row$Merger$ColumnDataReducer.getReduced,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18773,NO
org.apache.cassandra.cql3.statements.ModificationStatement.buildPartitionKeyNames,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.statements.ModificationStatement.addUpdates,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19270,YES
org.apache.cassandra.db.RegularAndStaticColumns$Builder.addAll,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.triggers.TriggerExecutor.execute,TRUE,Linear,Table,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.rows.BTreeRow.minDeletionTime,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.Mutation$MutationSerializer.serialize,TRUE,Linear,Table,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.ReservedKeywords.isReserved,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.service.StorageProxy.updateCoordinatorWriteLatencyTableMetric,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.locator.TokenMetadata.firstTokenIndex,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19808,NO
org.apache.cassandra.db.rows.EncodingStats$Collector.get,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.rows.UnfilteredSerializer.readComplexColumn,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.ConsistencyLevel.blockForWrite,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.Mutation$MutationSerializer.deserialize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.SimpleBuilders$RowBuilder.add,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-14629,YES
org.apache.cassandra.locator.ReplicaPlans.assureSufficientLiveReplicas,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.utils.concurrent.OpOrder$Group.unlink,TRUE,Linear,"DC,Table",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.schema.Schema.getTableMetadata,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.statements.SelectStatement.getQuery,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.batchlog.BatchlogManager.setRate,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.net.OutboundConnection$EventLoopDelivery.doRun,TRUE,Linear,Token,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.ClusteringPrefix$Deserializer.prepare,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
