name=[org.apache.hadoop.cli.TestDeleteCLI.tearDown#0], declaringLine=[58], LOC=[11]
name=[org.apache.hadoop.cli.TestDeleteCLI.testAll#0], declaringLine=[91], LOC=[2]
name=[org.apache.hadoop.TestRefreshCallQueue.setUp#1#java.lang.Class], declaringLine=[53], LOC=[25]
name=[org.apache.hadoop.cli.TestErasureCodingCLI$TestErasureCodingAdmin.endElement#3#java.lang.String#java.lang.String#java.lang.String], declaringLine=[97], LOC=[13]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.expandCommand#1#java.lang.String], declaringLine=[81], LOC=[6]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.getConfigParser#0], declaringLine=[90], LOC=[2]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.getTestFile#0], declaringLine=[61], LOC=[2]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.setUp#0], declaringLine=[45], LOC=[13]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.tearDown#0], declaringLine=[67], LOC=[11]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.testAll#0], declaringLine=[120], LOC=[2]
name=[org.apache.hadoop.cli.TestHDFSCLI.execute#1#org.apache.hadoop.cli.util.CLICommand], declaringLine=[99], LOC=[2]
name=[org.apache.hadoop.cli.TestHDFSCLI.expandCommand#1#java.lang.String], declaringLine=[91], LOC=[5]
name=[org.apache.hadoop.cli.TestHDFSCLI.getTestFile#0], declaringLine=[71], LOC=[2]
name=[org.apache.hadoop.cli.TestHDFSCLI.setUp#0], declaringLine=[43], LOC=[25]
name=[org.apache.hadoop.cli.TestHDFSCLI.tearDown#0], declaringLine=[77], LOC=[11]
name=[org.apache.hadoop.cli.TestHDFSCLI.testAll#0], declaringLine=[105], LOC=[2]
name=[org.apache.hadoop.cli.TestXAttrCLI.execute#1#org.apache.hadoop.cli.util.CLICommand], declaringLine=[91], LOC=[2]
name=[org.apache.hadoop.cli.TestXAttrCLI.expandCommand#1#java.lang.String], declaringLine=[81], LOC=[7]
name=[org.apache.hadoop.cli.TestXAttrCLI.getTestFile#0], declaringLine=[61], LOC=[2]
name=[org.apache.hadoop.cli.TestXAttrCLI.setUp#0], declaringLine=[42], LOC=[16]
name=[org.apache.hadoop.cli.TestXAttrCLI.tearDown#0], declaringLine=[67], LOC=[11]
name=[org.apache.hadoop.cli.TestXAttrCLI.testAll#0], declaringLine=[97], LOC=[2]
name=[org.apache.hadoop.cli.util.CacheAdminCmdExecutor.execute#1#java.lang.String], declaringLine=[33], LOC=[3]
name=[org.apache.hadoop.cli.util.CryptoAdminCmdExecutor.execute#1#java.lang.String], declaringLine=[33], LOC=[3]
name=[org.apache.hadoop.cli.util.ErasureCodingCliCmdExecutor.execute#1#java.lang.String], declaringLine=[33], LOC=[3]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess$CountingVisitor.visit#5#int#java.util.Map#java.util.Map#org.apache.commons.collections.map.LinkedMap#org.apache.commons.collections.map.LinkedMap], declaringLine=[308], LOC=[17]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess$RestrictedAllocatingByteBufferPool.getBuffer#2#boolean#int], declaringLine=[479], LOC=[4]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess$RestrictedAllocatingByteBufferPool.putBuffer#1#java.nio.ByteBuffer], declaringLine=[485], LOC=[1]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.byteBufferToArray#1#java.nio.ByteBuffer], declaringLine=[108], LOC=[5]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.init#0], declaringLine=[89], LOC=[11]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.initZeroCopyTest#0], declaringLine=[118], LOC=[17]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.teardown#0], declaringLine=[103], LOC=[3]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.test2GBMmapLimit#0], declaringLine=[776], LOC=[73]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testClientMmapDisable#0], declaringLine=[713], LOC=[60]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testFallbackImpl#2#java.io.InputStream#byte[]], declaringLine=[489], LOC=[23]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testFallbackRead#0], declaringLine=[518], LOC=[35]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testHdfsFallbackReads#0], declaringLine=[434], LOC=[35]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testIndirectFallbackReads#0], declaringLine=[560], LOC=[21], explicitIO=[2]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testShortZeroCopyReads#0], declaringLine=[185], LOC=[53]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testZeroCopyMmapCache#0], declaringLine=[329], LOC=[98]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testZeroCopyReadOfCachedData#0], declaringLine=[588], LOC=[86]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testZeroCopyReads#0], declaringLine=[138], LOC=[44]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.testZeroCopyReadsNoFallback#0], declaringLine=[241], LOC=[49]
name=[org.apache.hadoop.fs.TestEnhancedByteBufferAccess.waitForReplicaAnchorStatus#5#org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache#org.apache.hadoop.hdfs.protocol.ExtendedBlock#boolean#boolean#int], declaringLine=[676], LOC=[34]
name=[org.apache.hadoop.fs.TestFcHdfsCreateMkdir.ClusterShutdownAtEnd#0], declaringLine=[60], LOC=[4]
name=[org.apache.hadoop.fs.TestFcHdfsCreateMkdir.clusterSetupAtBegining#0], declaringLine=[48], LOC=[8]
name=[org.apache.hadoop.fs.TestFcHdfsCreateMkdir.createFileContextHelper#0], declaringLine=[42], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsCreateMkdir.setUp#0], declaringLine=[68], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsCreateMkdir.tearDown#0], declaringLine=[74], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.ClusterShutdownAtEnd#0], declaringLine=[67], LOC=[4]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.clusterSetupAtBegining#0], declaringLine=[55], LOC=[8]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.getFileContext#0], declaringLine=[50], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.getFileContextHelper#0], declaringLine=[45], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.setUp#0], declaringLine=[75], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsPermission.tearDown#0], declaringLine=[81], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.ClusterShutdownAtEnd#0], declaringLine=[98], LOC=[4]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.clusterSetupAtBegining#0], declaringLine=[85], LOC=[10]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.setUp#0], declaringLine=[115], LOC=[3]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.tearDown#0], declaringLine=[121], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithExistingDir#2#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission], declaringLine=[229], LOC=[8]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithExistingDirClear#0], declaringLine=[162], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithExistingDirMiddle#0], declaringLine=[173], LOC=[3]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithExistingDirOpen#0], declaringLine=[167], LOC=[3]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithNonExistingDir#3#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission], declaringLine=[240], LOC=[13]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithNonExistingDirClear#0], declaringLine=[180], LOC=[5]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithNonExistingDirMiddle#0], declaringLine=[196], LOC=[5]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testCreateRecursiveWithNonExistingDirOpen#0], declaringLine=[188], LOC=[5]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirRecursiveWithNonExistingDir#3#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission], declaringLine=[214], LOC=[12]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirRecursiveWithNonExistingDirClear#0], declaringLine=[142], LOC=[4]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirRecursiveWithNonExistingDirMiddle#0], declaringLine=[155], LOC=[3]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirRecursiveWithNonExistingDirOpen#0], declaringLine=[149], LOC=[3]
name=[org.apache.hadoop.cli.TestErasureCodingCLI.execute#1#org.apache.hadoop.cli.util.CLICommand], declaringLine=[114], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirWithExistingDir#2#org.apache.hadoop.fs.permission.FsPermission#org.apache.hadoop.fs.permission.FsPermission], declaringLine=[204], LOC=[8]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirWithExistingDirClear#0], declaringLine=[126], LOC=[2]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirWithExistingDirMiddle#0], declaringLine=[136], LOC=[3]
name=[org.apache.hadoop.fs.TestGlobPaths$AcceptAllPathFilter.accept#1#org.apache.hadoop.fs.Path], declaringLine=[857], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths$AcceptPathsEndingInZ.accept#1#org.apache.hadoop.fs.Path], declaringLine=[869], LOC=[3]
name=[org.apache.hadoop.fs.TestFcHdfsSetUMask.testMkdirWithExistingDirOpen#0], declaringLine=[131], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths$FSTestWrapperGlobTest.run#0], declaringLine=[822], LOC=[0], abstract=[true], implementors=[9]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobAccessDenied.run#0], declaringLine=[1169], LOC=[20]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobFillsInScheme.run#0], declaringLine=[1073], LOC=[24]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobRoot.run#0], declaringLine=[1236], LOC=[10]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobSymlinksWithCustomPathFilter.run#0], declaringLine=[1020], LOC=[30]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobWithSymlinks.run#0], declaringLine=[883], LOC=[31]
name=[org.apache.hadoop.fs.TestGlobPaths$TestGlobWithSymlinksToSymlinks.run#0], declaringLine=[940], LOC=[56]
name=[org.apache.hadoop.fs.TestGlobPaths$TestNonTerminalGlobs.run#0], declaringLine=[1268], LOC=[24]
name=[org.apache.hadoop.fs.TestGlobPaths$TestRelativePath.run#0], declaringLine=[1118], LOC=[28]
name=[org.apache.hadoop.fs.TestGlobPaths$TestReservedHdfsPaths.run#0], declaringLine=[1210], LOC=[5]
name=[org.apache.hadoop.fs.TestGlobPaths.checkStatus#2#org.apache.hadoop.fs.FileStatus[]#org.apache.hadoop.fs.Path[]], declaringLine=[439], LOC=[9]
name=[org.apache.hadoop.fs.TestGlobPaths.cleanupDFS#0], declaringLine=[804], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.getPathFromStatus#1#org.apache.hadoop.fs.FileStatus], declaringLine=[450], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestAny#0], declaringLine=[510], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestClosure1#0], declaringLine=[525], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestClosure2#0], declaringLine=[540], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestClosure3#0], declaringLine=[555], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestClosure4#0], declaringLine=[570], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestClosure5#0], declaringLine=[585], LOC=[10]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestCombination#0], declaringLine=[642], LOC=[10]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestCurlyBracket#0], declaringLine=[656], LOC=[96]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestEscape#0], declaringLine=[495], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestJavaRegexSpecialChars#0], declaringLine=[756], LOC=[10]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestLiteral#0], declaringLine=[483], LOC=[9]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestRange#0], declaringLine=[613], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestSet#0], declaringLine=[598], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.pTestSetExcl#0], declaringLine=[628], LOC=[11]
name=[org.apache.hadoop.fs.TestGlobPaths.prepareTesting#2#java.lang.String#java.lang.String[]], declaringLine=[768], LOC=[16]
name=[org.apache.hadoop.fs.TestGlobPaths.prepareTesting#3#java.lang.String#java.lang.String[]#org.apache.hadoop.fs.PathFilter], declaringLine=[786], LOC=[16]
name=[org.apache.hadoop.fs.TestGlobPaths.setUp#0], declaringLine=[69], LOC=[13]
name=[org.apache.hadoop.fs.TestGlobPaths.tearDown#0], declaringLine=[85], LOC=[4]
name=[org.apache.hadoop.fs.TestGlobPaths.testCRInPathGlob#0], declaringLine=[96], LOC=[12]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobAccessDeniedOnFC#0], declaringLine=[1198], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobAccessDeniedOnFS#0], declaringLine=[1193], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobFillsInSchemeOnFC#0], declaringLine=[1106], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobFillsInSchemeOnFS#0], declaringLine=[1101], LOC=[2]
